,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
98,5.1,2.5,3.0,1.1,versicolor
82,5.8,2.7,3.9,1.2,versicolor
68,6.2,2.2,4.5,1.5,versicolor
143,6.8,3.2,5.9,2.3,virginica
20,5.4,3.4,1.7,0.2,setosa
134,6.1,2.6,5.6,1.4,virginica
28,5.2,3.4,1.4,0.2,setosa
22,4.6,3.6,1.0,0.2,setosa
16,5.4,3.9,1.3,0.4,setosa
142,5.8,2.7,5.1,1.9,virginica
149,5.9,3.0,5.1,1.8,virginica
11,4.8,3.4,1.6,0.2,setosa
146,6.3,2.5,5.0,1.9,virginica
137,6.4,3.1,5.5,1.8,virginica
31,5.4,3.4,1.5,0.4,setosa
2,4.7,3.2,1.3,0.2,setosa
108,6.7,2.5,5.8,1.8,virginica
15,5.7,4.4,1.5,0.4,setosa
52,6.9,3.1,4.9,1.5,versicolor
43,5.0,3.5,1.6,0.6,setosa
29,4.7,3.2,1.6,0.2,setosa
46,5.1,3.8,1.6,0.2,setosa
131,7.9,3.8,6.4,2.0,virginica
130,7.4,2.8,6.1,1.9,virginica
53,5.5,2.3,4.0,1.3,versicolor
129,7.2,3.0,5.8,1.6,virginica
50,7.0,3.2,4.7,1.4,versicolor
66,5.6,3.0,4.5,1.5,versicolor
120,6.9,3.2,5.7,2.3,virginica
8,4.4,2.9,1.4,0.2,setosa
42,4.4,3.2,1.3,0.2,setosa
112,6.8,3.0,5.5,2.1,virginica
117,7.7,3.8,6.7,2.2,virginica
99,5.7,2.8,4.1,1.3,versicolor
58,6.6,2.9,4.6,1.3,versicolor
125,7.2,3.2,6.0,1.8,virginica
141,6.9,3.1,5.1,2.3,virginica
86,6.7,3.1,4.7,1.5,versicolor
59,5.2,2.7,3.9,1.4,versicolor
48,5.3,3.7,1.5,0.2,setosa
17,5.1,3.5,1.4,0.3,setosa
138,6.0,3.0,4.8,1.8,virginica
127,6.1,3.0,4.9,1.8,virginica
19,5.1,3.8,1.5,0.3,setosa
36,5.5,3.5,1.3,0.2,setosa
45,4.8,3.0,1.4,0.3,setosa
34,4.9,3.1,1.5,0.2,setosa
71,6.1,2.8,4.0,1.3,versicolor
89,5.5,2.5,4.0,1.3,versicolor
35,5.0,3.2,1.2,0.2,setosa
83,6.0,2.7,5.1,1.6,versicolor
124,6.7,3.3,5.7,2.1,virginica
135,7.7,3.0,6.1,2.3,virginica
21,5.1,3.7,1.5,0.4,setosa
33,5.5,4.2,1.4,0.2,setosa
1,4.9,3.0,1.4,0.2,setosa
88,5.6,3.0,4.1,1.3,versicolor
79,5.7,2.6,3.5,1.0,versicolor
87,6.3,2.3,4.4,1.3,versicolor
148,6.2,3.4,5.4,2.3,virginica
93,5.0,2.3,3.3,1.0,versicolor
24,4.8,3.4,1.9,0.2,setosa
63,6.1,2.9,4.7,1.4,versicolor
121,5.6,2.8,4.9,2.0,virginica
103,6.3,2.9,5.6,1.8,virginica
114,5.8,2.8,5.1,2.4,virginica
23,5.1,3.3,1.7,0.5,setosa
47,4.6,3.2,1.4,0.2,setosa
9,4.9,3.1,1.5,0.1,setosa
12,4.8,3.0,1.4,0.1,setosa
81,5.5,2.4,3.7,1.0,versicolor
67,5.8,2.7,4.1,1.0,versicolor
101,5.8,2.7,5.1,1.9,virginica
91,6.1,3.0,4.6,1.4,versicolor
64,5.6,2.9,3.6,1.3,versicolor
115,6.4,3.2,5.3,2.3,virginica
38,4.4,3.0,1.3,0.2,setosa
10,5.4,3.7,1.5,0.2,setosa
145,6.7,3.0,5.2,2.3,virginica
62,6.0,2.2,4.0,1.0,versicolor
0,5.1,3.5,1.4,0.2,setosa
100,6.3,3.3,6.0,2.5,virginica
30,4.8,3.1,1.6,0.2,setosa
139,6.9,3.1,5.4,2.1,virginica
136,6.3,3.4,5.6,2.4,virginica
106,4.9,2.5,4.5,1.7,virginica
132,6.4,2.8,5.6,2.2,virginica
55,5.7,2.8,4.5,1.3,versicolor
92,5.8,2.6,4.0,1.2,versicolor
3,4.6,3.1,1.5,0.2,setosa
119,6.0,2.2,5.0,1.5,virginica
113,5.7,2.5,5.0,2.0,virginica
57,4.9,2.4,3.3,1.0,versicolor
25,5.0,3.0,1.6,0.2,setosa
104,6.5,3.0,5.8,2.2,virginica
4,5.0,3.6,1.4,0.2,setosa
110,6.5,3.2,5.1,2.0,virginica
111,6.4,2.7,5.3,1.9,virginica
84,5.4,3.0,4.5,1.5,versicolor
60,5.0,2.0,3.5,1.0,versicolor
41,4.5,2.3,1.3,0.3,setosa
97,6.2,2.9,4.3,1.3,versicolor
70,5.9,3.2,4.8,1.8,versicolor
74,6.4,2.9,4.3,1.3,versicolor
128,6.4,2.8,5.6,2.1,virginica
90,5.5,2.6,4.4,1.2,versicolor
102,7.1,3.0,5.9,2.1,virginica
107,7.3,2.9,6.3,1.8,virginica
54,6.5,2.8,4.6,1.5,versicolor
27,5.2,3.5,1.5,0.2,setosa
39,5.1,3.4,1.5,0.2,setosa
133,6.3,2.8,5.1,1.5,virginica
